common_name,species_group
Bulmer's fruit bat ,Mammals
Spanish imperial eagle,Birds
Great green macaw,Birds
Blue-throated macaw,Birds
Scarlet macaw,Birds
Scarlet macaw,Birds
Scarlet macaw,Birds
Military macaw,Birds
Golden conure,Birds
Dappled mountain robin,Birds
Ouachita rock pocketbook,Clams
Guadalupe fur seal,Mammals
Great Indian bustard,Birds
Pecos assiminea snail,Snails
Spider monkey,Mammals
Spider monkey,Mammals
Panamanian golden frog,Amphibians
Anthony's riversnail,Snails
Anthony's riversnail,Snails
Anthony's riversnail,Snails
Noisy scrub-bird,Birds
Avahi,Mammals
Indochina hog deer,Mammals
Calamianes  deer,Mammals
Kuhl's  deer,Mammals
Madagascar pochard,Birds
Babirusa,Mammals
Bowhead whale,Mammals
Sei whale,Mammals
Blue whale,Mammals
Finback whale,Mammals
River terrapin,Reptiles
Desert slender salamander,Amphibians
Coffin Cave mold beetle,Insects
Helotes mold beetle,Insects
Rodrigues warbler ,Birds
Seychelles warbler ,Birds
Gaimard's rat-kangaroo,Mammals
Lesueur's rat-kangaroo,Mammals
Brush-tailed rat-kangaroo,Mammals
Queensland rat-kangaroo,Mammals
Wood Bison,Mammals
Marsh deer,Mammals
Uncompahgre fritillary butterfly,Insects
Round Island bolyeria boa,Reptiles
Rusty patched bumble bee,Insects
Franklin''s bumble bee,Insects
Seledang,Mammals
Banteng,Mammals
Wild yak,Mammals
Kouprey,Mammals
Columbia Basin Pygmy Rabbit,Mammals
Fiji banded iguana,Reptiles
Fiji crested iguana,Reptiles
Marbled murrelet,Birds
Woolly spider monkey,Mammals
Brazilian three-toed sloth,Mammals
Conservancy fairy shrimp,Crustaceans
Longhorn fairy shrimp,Crustaceans
Vernal pool fairy shrimp,Crustaceans
San Diego fairy shrimp,Crustaceans
Hawaiian goose,Birds
Hungerford's crawling water Beetle,Insects
Lowland anoa,Mammals
Tamaraw,Mammals
Mountain anoa,Mammals
Helmeted hornbill,Birds
Houston toad,Amphibians
Monte Verde golden toad,Amphibians
Cameroon toad,Amphibians
Mountain pygmy possum,Mammals
Galapagos hawk,Birds
Puerto Rican broad-winged hawk,Birds
Uakari ,Mammals
White cockatoo,Birds
Philippine cockatoo,Birds
Salmon-crested cockatoo,Birds
Yellow-crested cockatoo,Birds
Apaporis River caiman,Reptiles
Common caiman,Reptiles
Brown Caiman,Reptiles
Broad-snouted caiman,Reptiles
Broad-snouted caiman,Reptiles
Yacare Caiman,Reptiles
White-winged wood duck,Birds
Red knot,Birds
Kokako ,Birds
Goeldi's marmoset,Mammals
White-eared  marmoset,Mammals
Buff-headed marmoset,Mammals
San Bruno elfin butterfly,Insects
Desert  rat-kangaroo,Mammals
